champion	nfrac	maxd
Donatello	5	0.903057
Donatello	7	0.739853
Donatello	8	0.547417
Donatello	9	0.501472
Donatello	10	0.516818
Donatello	11	0.517721
Donatello	12	0.465591
Donatello	13	0.0281454
Michelangelo	5	1.78143
Michelangelo	7	2.30686
Michelangelo	8	0.721584
Michelangelo	9	0.8814
Michelangelo	10	0.992726
Michelangelo	11	0.480113
Michelangelo	12	0.00102695
Michelangelo	13	0.000524369
Raffaello	5	0.582565
Raffaello	7	0.626907
Raffaello	8	0.6199
Raffaello	9	0.573635
Raffaello	10	0.428633
Raffaello	11	0.429212
Raffaello	12	0.000241775
Raffaello	13	0.000139863
Leonardo	5	1.77571
Leonardo	7	1.12208
Leonardo	8	1.41947
Leonardo	9	0.88123
Leonardo	10	0.991856
Leonardo	11	0.951343
Leonardo	12	0.00101166
Leonardo	13	0.000518262
