field	nfrac	maxdgap	coll_extra	pass	min_gap	brake_margin	max_DRAC	min_TTC	NRMSE_mean	impact_max
V	13	0.0000	0	1	-0.3867	-3.7808	165.3341	0.0175	0	7.6266
V	12	0.9099	0	0	-0.3989	-3.7977	185.8512	0.0156	0.0831854	7.6375
V	11	1.1305	0	0	-0.3995	-3.7808	187.0350	0.0155	0.0838828	7.6266
V	10	1.0302	0	0	-0.3701	-3.7971	143.5340	0.0200	0.0860568	7.6371
V	9	0.8593	0	0	-0.3742	-3.7838	148.3578	0.0194	0.0887804	7.6285
V	8	1.2543	0	0	-0.3742	-3.8274	148.3578	0.0194	0.091174	7.6566
V	7	1.7733	0	0	-0.4051	-3.7965	198.3765	0.0146	0.0916766	7.6367
V	6	1.1040	0	0	-0.3970	-3.7820	182.3845	0.0159	0.092511	7.6273
V	5	0.7919	0	0	-0.3883	-3.9026	167.7187	0.0172	0.0947605	7.7051
V	4	2.8996	0	0	-0.3873	-3.8026	166.2801	0.0174	0.0991629	7.6406
V	3	4.5938	0	0	-0.3889	-3.7754	168.6909	0.0171	0.106092	7.6230
V	2	5.2250	0	0	-0.3798	-3.7675	155.5670	0.0185	0.150464	7.6180
V	1	8.1350	0	0	-0.3980	-3.7687	184.1023	0.0157	0.163442	7.6187
fatigue	13	0.0000	0	1	-0.3867	-3.7808	165.3341	0.0175	0	7.6266
fatigue	12	0.7441	0	0	-0.4126	-3.8014	215.7204	0.0135	0.0839251	7.6398
fatigue	11	1.3658	0	0	-0.3958	-3.8056	180.1414	0.0161	0.0855512	7.6426
fatigue	10	1.0199	0	0	-0.3942	-3.8195	177.4107	0.0163	0.0872562	7.6516
fatigue	9	1.1200	0	0	-0.3951	-3.8014	179.0396	0.0162	0.0904107	7.6398
fatigue	8	1.1601	0	0	-0.3942	-3.8147	177.4107	0.0163	0.091057	7.6484
fatigue	7	1.2307	0	0	-0.3945	-3.8135	177.9505	0.0163	0.0912084	7.6477
fatigue	6	1.2466	0	0	-0.4086	-3.7796	205.9800	0.0141	0.0933161	7.6258
fatigue	5	2.1329	0	0	-0.3967	-3.7319	181.8188	0.0159	0.0942643	7.5949
fatigue	4	2.7056	0	0	-0.4963	-3.7959	519.5343	0.0060	0.101027	7.6363
fatigue	3	4.1347	0	0	-0.4098	-3.8177	208.8856	0.0139	0.115997	7.6504
fatigue	2	7.7649	0	0	-0.3742	-3.8814	148.3578	0.0194	0.156097	7.6914
fatigue	1	10.8481	0	0	-0.5266	-3.8541	1802.7464	0.0017	0.221473	7.6738
acc	13	0.0000	0	1	-0.3867	-3.7808	165.3341	0.0175	0	7.6266
acc	12	0.0000	0	1	-0.3867	-3.7808	165.3341	0.0175	0	7.6266
acc	11	0.0000	0	1	-0.3867	-3.7808	165.3341	0.0175	0	7.6266
acc	10	0.0000	0	1	-0.3867	-3.7808	165.3341	0.0175	0	7.6266
acc	9	0.0000	0	1	-0.3867	-3.7808	165.3341	0.0175	0	7.6266
acc	8	0.0000	0	1	-0.3867	-3.7808	165.3341	0.0175	0	7.6266
acc	7	0.0000	0	1	-0.3867	-3.7808	165.3341	0.0175	0	7.6266
acc	6	0.0000	0	1	-0.3867	-3.7808	165.3341	0.0175	0	7.6266
acc	5	0.0000	0	1	-0.3867	-3.7808	165.3341	0.0175	0	7.6266
acc	4	0.0000	0	1	-0.3867	-3.7808	165.3341	0.0175	0	7.6266
acc	3	4.0196	0	0	-0.3770	-3.8383	151.8813	0.0190	0.0981848	7.6637
acc	2	3.4686	0	0	-0.3698	-3.7814	143.1752	0.0201	0.109013	7.6270
acc	1	4.6824	0	0	-0.3780	-3.7609	153.0913	0.0188	0.114318	7.6137
accw	13	0.0000	0	1	-0.3867	-3.7808	165.3341	0.0175	0	7.6266
accw	12	0.9956	0	0	-0.3961	-3.7808	180.6972	0.0160	0.0514247	7.6266
accw	11	1.0230	0	0	-0.4380	-3.7808	304.2519	0.0096	0.0684386	7.6266
accw	10	1.1077	0	0	-0.4136	-3.8020	218.0953	0.0133	0.0787609	7.6402
accw	9	0.7991	0	0	-0.3951	-3.8044	179.0396	0.0162	0.0810085	7.6418
accw	8	1.1687	0	0	-0.3714	-3.7935	144.9862	0.0199	0.0830307	7.6348
accw	7	1.4807	0	0	-0.3680	-3.7850	141.0577	0.0204	0.0847528	7.6293
accw	6	1.0426	0	0	-0.4195	-3.8171	234.3904	0.0124	0.085232	7.6500
accw	5	0.7983	0	0	-0.4167	-3.7990	226.3888	0.0128	0.0871272	7.6383
accw	4	1.1883	0	0	-0.4101	-3.8129	209.6243	0.0138	0.0893423	7.6473
accw	3	1.4049	0	0	-0.4055	-3.7820	199.0453	0.0146	0.0921759	7.6273
accw	2	2.9465	0	0	-0.4001	-3.7573	188.2333	0.0154	0.0954143	7.6113
accw	1	2.9266	0	0	-0.4430	-3.8377	330.7180	0.0088	0.0993775	7.6633
raw	13	0.0000	0	1	-0.3867	-3.7808	165.3341	0.0175	0	7.6266
