nfrac	WNS	delay_ns	Fmax_MHz	LUT	FF	DSP	BRAM	Ptot_W	Pdyn_W	Psta_W
2	108.310	16.690	59.916	2832	1713	30	1	0.109	0.006	0.103
3	106.525	18.475	54.127	3752	2165	30	1	0.109	0.006	0.103
4	106.203	18.797	53.200	4856	2381	31	1	0.111	0.008	0.103
5	107.185	17.815	56.132	3664	2497	51	1	0.112	0.009	0.103
6	107.424	17.576	56.896	3793	2621	51	1	0.111	0.009	0.103
7	105.882	19.118	52.307	3924	2744	51	1	0.112	0.009	0.103
8	108.073	16.927	59.077	4043	2864	51	1	0.113	0.010	0.103
9	106.181	18.819	53.138	4158	2986	51	1	0.112	0.010	0.103
10	107.899	17.101	58.476	4294	3110	51	1	0.113	0.010	0.103
11	105.427	19.573	51.091	4402	3228	51	1	0.112	0.009	0.103
12	106.988	18.012	55.519	4564	3353	51	1	0.113	0.010	0.103
13	106.095	18.905	52.896	4628	3474	52	1	0.111	0.008	0.103
