tag	decode	snn	kind	P_ns	WNS	WHS	delay_ns	Fmax_MHz	LUT	FF	DSP	BRAM	valid	hold
sp_slow	fused	R2	x0.90	29.465	-3.929	0.132	33.394	29.945	3718	1817	52	1	si	ok
sp_slow	fused	R2	x1.00	32.739	-1.023	0.121	33.762	29.619	3645	1817	52	1	si	ok
sp_slow	fused	R2	x1.40	45.835	7.366	0.112	38.469	25.995	3299	1817	52	1	lim-inf	ok
sp_slow	fused	R2	x2.00	65.478	20.488	0.112	44.990	22.227	3299	1817	52	1	lim-inf	ok
sp_slow	fused	R2	x3.00	98.217	50.537	0.100	47.680	20.973	3300	1817	52	1	lim-inf	ok
sp_slow	fused	R2	deploy-ref	125.000	77.091	0.112	47.909	20.873	3298	1817	52	1	lim-inf	ok
sp_balanced	p3	R5	x0.90	15.946	-1.298	0.110	17.244	57.991	4072	2173	52	1	si	ok
sp_balanced	p3	R5	x1.00	17.718	-0.061	0.098	17.779	56.246	3891	2173	52	1	si	ok
sp_balanced	p3	R5	x1.40	24.805	4.145	0.100	20.660	48.403	3846	2173	52	1	lim-inf	ok
sp_balanced	p3	R5	x2.00	35.436	13.899	0.121	21.537	46.432	3846	2173	52	1	lim-inf	ok
sp_balanced	p3	R5	x3.00	53.154	29.260	0.100	23.894	41.852	3847	2173	52	1	lim-inf	ok
sp_balanced	p3	R5	deploy-ref	125.000	101.520	0.100	23.480	42.589	3847	2173	52	1	lim-inf	ok
sp_fast	p5	R9	x0.90	9.686	-0.844	0.098	10.530	94.967	4639	3288	52	1	si	ok
sp_fast	p5	R9	x1.00	10.762	-0.192	0.098	10.954	91.291	4548	3288	52	1	si	ok
sp_fast	p5	R9	x1.40	15.067	1.862	0.098	13.205	75.729	4508	3288	52	1	lim-inf	ok
sp_fast	p5	R9	x2.00	21.524	6.955	0.098	14.569	68.639	4509	3288	52	1	lim-inf	ok
sp_fast	p5	R9	x3.00	32.286	15.770	0.098	16.516	60.547	4509	3288	52	1	lim-inf	ok
sp_fast	p5	R9	deploy-ref	125.000	108.937	0.098	16.063	62.255	4509	3288	52	1	lim-inf	ok
