epoch,train_total,train_data,train_phys,train_ou,train_bc,train_sr,val_total,val_data,val_phys,val_ou,val_bc,val_sr,lr,grad_norm,spike_rate,time_s,marginal_frac,mean_spike_margin,mean_vth_at_spike,rec_spectral_radius,prodigy_d,prodigy_d_max,prodigy_lr_eff,val_T_tracking_corr,val_T_intra_corr,val_v0_pred_mean,val_T_pred_mean,val_s0_pred_mean,val_a_pred_mean,val_b_pred_mean,val_v0_intra_std,val_T_intra_std,val_s0_intra_std,val_a_intra_std,val_b_intra_std,val_v0_nrmse,val_T_nrmse,val_s0_nrmse,val_a_nrmse,val_b_nrmse
1,0.7556340628862381,0.6184576746821403,0.4348341243714094,0.04263974312692881,0.091209382865527,0.0007032174586047546,0.741505511342845,0.6163361724862393,0.4288794402469029,0.0432759740469145,0.07916305847842925,0.0019090684733124668,0.49950668309370366,2.098097415268421,0.172091631060268,76.70548176765442,8.958165562944487e-05,1.5236215591430664,2.2620980739593506,0.06596744805574417,1e-05,4.9281829989759434e-05,4.995066830937037e-06,-0.0030300503131002188,-0.002727544866502285,36.83332710063204,1.3396724890521232,3.2956922231836523,0.9427018546043558,1.077543241863555,2.3762148400729006,0.1562518610599193,0.37931143476607954,0.15011953733901076,0.1518650870136124,0.3421226852613643,0.2118461533138921,0.2702327971980117,0.24727054206714255,0.22335006000482585
2,0.7934837567806244,0.6713539846241474,0.4906907641887665,0.04917753271758556,0.0697914808022324,0.001620674018058459,0.8525596465519134,0.7267149254045588,0.5639788877377485,0.051658383491349984,0.0651196035168857,0.0034886231344986975,0.4980286792712688,2.3392876997590064,0.19225898678315448,75.51789999008179,0.00016271407366730273,1.514865756034851,2.3675241470336914,0.065839983522892,1e-05,4.9281829989759434e-05,4.980286792712688e-06,-0.005948958452790976,-0.001744394889101386,35.856520368697794,1.5947929791947628,3.2496515867557934,1.2343184852853735,0.9279640719611594,2.5669068470597267,0.16435710578522783,0.402165709816395,0.17304894280560473,0.1253644885851982,0.3223616621401068,0.2575888662834715,0.25538793361356055,0.2404834209077576,0.2694952754825748
3,0.9028918296098709,0.7354291307926178,0.5826522815972567,0.05128397732973099,0.10567320023896172,0.0019201516612383784,0.8530448613331673,0.7271272159637289,0.5644816035761479,0.0518712192932342,0.06513093837983956,0.0034899808696838394,0.4955718215385468,2.6927500486373903,0.1922809185579102,75.5429220199585,0.0005280229379422963,1.5163191556930542,2.4602932929992676,0.0660305991768837,1.648809024437054e-05,4.9281829989759434e-05,8.171032916094653e-06,-0.004965903703123331,-0.0032913959585130215,35.87281664381636,1.5949516924137765,3.2509020478167434,1.234405441487089,0.9272893635516471,2.5612123155213418,0.16469282490458895,0.4018172353823134,0.17320255943118257,0.1251403502723638,0.32263856182734363,0.25749904813304,0.25565291605308954,0.24040321143458146,0.2697055577974671
4,0.9181996929645538,0.7785153904557228,0.6481904305517674,0.05072813335806131,0.07141351650987417,0.0018306676761767448,0.8071147904117056,0.7059277679691923,0.5328361594137994,0.051926179125191686,0.04358242890521069,0.0034493458474474017,0.4921458059905771,2.764633443951607,0.19189673337213536,74.80091786384583,0.0003811701899394393,1.5052820444107056,2.341280460357666,0.06469639390707016,1.3380312616695972e-05,4.9281829989759434e-05,6.585064737149727e-06,-0.008096194826066494,0.000112803558295127,35.77269454712563,1.584696241515748,2.922753592754932,1.2219914866888777,0.9372465838777259,2.5776331029990884,0.16450691857236496,0.4177168618808401,0.172366747117423,0.12748245415376855,0.32011774134837506,0.25437216057839124,0.19809832857709828,0.2394193583751312,0.26693638390544405
5,0.8109361115097999,0.7104361036419868,0.5440212187170982,0.05194347646087408,0.04241133254370652,0.0021787580166483167,0.7999120326118266,0.6991536918472736,0.5217797558041329,0.05178210999261826,0.04415740003052169,0.00366773265300207,0.48776415354553015,2.892591505050659,0.19397170897176924,74.98139476776123,8.031160541577265e-05,1.5189942121505737,2.453585147857666,0.06696035712957382,1.648809024437054e-05,0.0003750205612922801,8.042299381627711e-06,-0.004129273351281881,-0.0012078754371032119,35.20543985163912,1.5171565071065376,2.8073695086418313,1.276216523127353,0.9274758240009876,2.65308538301194,0.16516837715468508,0.4125823706705519,0.17479301204389713,0.12497371163694783,0.30829259023715483,0.23439764584515524,0.1877377510967951,0.2429279192558243,0.26996490944469925
6,0.7827683964371681,0.6748219802975655,0.49040017277002335,0.05081852935254574,0.05518055594526231,0.0023698335966554395,0.7634927322889896,0.6643320280820766,0.4748598034790856,0.05205004800982932,0.04728625466920308,0.0035719339841014538,0.4824441565838198,2.7275978976488116,0.19272911865660486,74.99383640289307,0.00044661134597845376,1.5123045444488525,2.460484266281128,0.06918639689683914,1.3380312616695972e-05,0.0008931815018731069,6.455253635189731e-06,-0.0071179489605128765,-0.002890621544793248,35.00277695757278,1.4752906415056675,2.8060687653561858,1.2583060610167525,0.9594579916051094,2.6880202431311,0.16405678782215777,0.4082954885794761,0.17414253989749767,0.13245473374077615,0.3044061862025905,0.21788634071422666,0.19006782137754893,0.23816719114079565,0.26156932591547055
7,0.8190853989124298,0.7117155081033707,0.5455165684968233,0.0519338221848011,0.049190486914594655,0.0020621225833110657,0.7625584283724745,0.6635734492793997,0.4741026821367918,0.0518448915768494,0.047196939437727216,0.003571056136034989,0.4762068107029786,2.8640706586837767,0.19270728009336807,75.04789924621582,0.0003773110220208764,1.5133355855941772,2.3912577629089355,0.07150785624980927,1e-05,0.001170719402016322,4.762068107029786e-06,-0.008826498873531818,-0.004399459343403578,35.01139487611486,1.4744315787832787,2.804637132806981,1.2575956592534452,0.9590236132449292,2.6777719940910947,0.1640064028745636,0.40914008576185146,0.17410915872042484,0.13258199564161452,0.3043850066807531,0.21777187262551911,0.19016842914108625,0.23821556485629156,0.26177395018766236
8,0.7374310168623924,0.6398999686539173,0.4457169245928526,0.05013132724910974,0.04938422953942791,0.0021371250193823244,0.6665072081253883,0.5785053555477173,0.3706593257077831,0.0463645276217226,0.0468349675672732,0.0035654617045012813,0.4690767318576258,2.729989885687828,0.192576056702974,74.89631676673889,0.0003142536443192512,1.5153006315231323,2.3276546001434326,0.0785006657242775,2.20615801921973e-05,0.002129086468075394,1.0348573936170841e-05,-0.013761579990386963,0.000543132540769875,32.902654810154694,1.3209640586629827,2.8082223927721066,1.0986449152548263,0.958372749863787,2.9905307557671628,0.15431395902278575,0.4074573611959498,0.1622268372869238,0.13223581150808233,0.2703047759064745,0.18391411379780784,0.19093140979795217,0.2277949254273164,0.2620122247225865
9,0.6340069894492626,0.5476529690623283,0.32830518651753665,0.0454811486415565,0.050012941970489916,0.002473002855102777,0.6425360604486567,0.5567759825511182,0.34515951552051816,0.04468392472753816,0.04730395759522127,0.0034119459199185268,0.46108205921154094,2.508417646288872,0.19129070405788878,74.73826766014099,8.646405331091955e-05,1.5208660364151,2.265657663345337,0.08465801924467087,1.4528755838112006e-05,0.0024041759752368224,6.698948659618381e-06,-0.018208108842372894,0.0011896337382495403,32.73876792826551,1.274244265670472,2.7768341632599527,1.0811562704596114,0.9890512196307487,3.0067674108642213,0.15110975856635164,0.4063036112075156,0.16046118807602436,0.13844094286732217,0.2669079033214572,0.18085383968481045,0.18761035918990152,0.22834852135066872,0.2534188215924745
10,0.6933716583251953,0.5897837060689927,0.3815629949420691,0.04501718699932098,0.062250914244068555,0.0018597637793369693,0.639252169493665,0.5537959719274906,0.3422058864714617,0.04418263635895354,0.04732507036540947,0.0034028064809768204,0.45225434408523957,2.3668818497657775,0.19117513671517372,75.02905607223511,0.00037815762334503233,1.5154303312301636,2.4916090965270996,0.09011497348546982,1.648809024437054e-05,0.002533140158032848,7.456810438686037e-06,-0.019374841824173927,0.0027043430600315332,33.857126246107384,1.2706008892744145,2.776170054648785,1.079593043219536,0.9880687616606976,2.795086199140295,0.15037264520342045,0.40501687453782304,0.1606315406871603,0.13814298978986891,0.2810357592001251,0.18019191563381845,0.187542543459021,0.22816144237798164,0.2537834935384079
