arm,spectral_radius,spike_rate,marginal_frac,eff_rank,dead_neurons
BPTT_REF,7.578,0.153,,1.75,11
A_lr7e3_t05_r16,0.5,0.179,0.0014,10.62,0
A_lr7e3_t06_r16,0.626,0.18,0.0015,10.75,0
A_lr7e3_t04_r16,0.413,0.178,0.0018,10.91,0
A_lr5e3_t05_r16,0.514,0.201,0.0009,10.07,1
A_lr5e3_t06_r16,0.622,0.171,0.0005,9.67,0
A_lr5e3_t04_r16,0.404,0.179,0.001,10.84,0
A_lr1e2_t05_r16,0.632,0.194,0.0037,9.64,0
A_lr1e2_t06_r16,0.631,0.204,0.0023,10.91,0
A_lr1e2_t04_r16,0.518,0.2,0.0082,10.31,0
A_lr15e2_t05_r16,0.642,0.219,0.0043,11.03,0
A_lr7e3_t05_r8,0.515,0.188,0.0019,6.49,0
A_lr7e3_t05_r24,0.521,0.2,0.0017,12.88,0
A_lr7e3_t05_r32,0.505,0.171,0.0009,15.02,0
A_lr7e3_t05_r16_noDEC,0.523,0.23,0.0014,10.75,0
A_lr1e2_t05_r16_noDEC,0.606,0.262,0.0108,10.3,0
A_lr7e3_t05_r16_s1,0.486,0.184,0.0009,10.54,0
A_lr7e3_t05_r16_s2,0.53,0.173,0.0012,10.45,0
A_lr7e3_t05_r16_s3,0.537,0.204,0.002,10.7,0
DS_narrow,0.5,0.172,0.0014,10.82,0
DS_wide,0.52,0.226,0.0007,11.16,0
DS_widebig,0.505,0.221,0.0006,10.7,0
