arm,ep,min_val,final_val,max_grad,max_spectral,exploded
SPEC_REF_noconstraint,7,0.2721,0.2983,5903.8,2.87,True
SPEC_l05_t12,25,0.2309,0.2531,2.4,1.37,False
SPEC_l05_t15,23,0.2422,0.2598,3450.9,2.04,True
SPEC_l05_t20,6,0.2777,0.4736,6065.0,2.58,True
SPEC_l05_t25,8,0.2591,0.3644,5802.1,2.77,True
SPEC_l10_t12,25,0.2332,0.2379,2.2,1.36,False
SPEC_l10_t15,25,0.2288,0.23,2366.3,2.05,True
SPEC_l10_t20,8,0.264,0.3168,17127.5,2.44,True
SPEC_l10_t25,7,0.2777,0.3212,10919.0,2.68,True
SPEC_l30_t12,25,0.2373,0.2506,9.1,1.27,False
SPEC_l30_t15,25,0.2346,0.241,2064.9,1.74,True
SPEC_l30_t20,7,0.2777,0.3318,11755.3,2.77,True
SPEC_l30_t25,7,0.2777,0.3061,10718.0,2.69,True
SPEC_l100_t12,25,0.2384,0.2455,12.1,1.27,False
SPEC_l100_t15,25,0.2353,0.2353,2865.7,1.61,True
SPEC_l100_t20,7,0.2777,0.4098,10340.0,2.34,True
SPEC_l100_t25,7,0.2777,0.3257,4889.0,2.54,True
