arm,scenario,n,data,phys,nrmse_v0,nrmse_T,nrmse_s0,nrmse_a,nrmse_b
PE_t05_gp0002,freeflow,50,0.4782,0.264,0.139,0.124,0.082,0.196,0.043
PE_t05_gp0002,highway,56,0.2606,0.0762,0.124,0.117,0.035,0.236,0.091
PE_t05_gp0002,launch,102,0.3158,0.1068,0.109,0.143,0.048,0.187,0.085
PE_t05_gp0002,mixed,19,0.2915,0.0879,0.266,0.139,0.056,0.193,0.108
PE_t05_gp0002,truck,26,0.1741,0.0321,0.176,0.117,0.087,0.062,0.295
PE_t05_gp0002,urban,47,0.4855,0.2537,0.339,0.156,0.192,0.36,0.09
ADAM_lr1e3_t08,freeflow,50,0.1805,0.0334,0.117,0.336,0.425,0.315,0.47
ADAM_lr1e3_t08,highway,56,0.1828,0.0349,0.111,0.133,0.17,0.28,0.182
ADAM_lr1e3_t08,launch,102,0.2773,0.0795,0.188,0.219,0.247,0.202,0.269
ADAM_lr1e3_t08,mixed,19,0.2595,0.071,0.205,0.126,0.141,0.183,0.106
ADAM_lr1e3_t08,truck,26,0.165,0.0277,0.185,0.134,0.09,0.054,0.315
ADAM_lr1e3_t08,urban,47,0.2759,0.0782,0.203,0.133,0.167,0.304,0.205
ADAM_lr1e3_t10,freeflow,50,0.186,0.0361,0.12,0.363,0.603,0.274,0.51
ADAM_lr1e3_t10,highway,56,0.1733,0.0312,0.128,0.117,0.353,0.255,0.195
ADAM_lr1e3_t10,launch,102,0.2769,0.0787,0.196,0.251,0.392,0.168,0.304
ADAM_lr1e3_t10,mixed,19,0.2414,0.061,0.203,0.12,0.204,0.187,0.117
ADAM_lr1e3_t10,truck,26,0.1487,0.0226,0.214,0.122,0.171,0.056,0.313
ADAM_lr1e3_t10,urban,47,0.2805,0.0827,0.173,0.122,0.158,0.31,0.205
ADAM_lr1e3_t12,freeflow,50,0.1697,0.0301,0.132,0.309,0.136,0.31,0.437
ADAM_lr1e3_t12,highway,56,0.1784,0.0337,0.116,0.115,0.262,0.293,0.211
ADAM_lr1e3_t12,launch,102,0.2752,0.0789,0.211,0.226,0.163,0.189,0.267
ADAM_lr1e3_t12,mixed,19,0.2561,0.069,0.175,0.118,0.207,0.192,0.162
ADAM_lr1e3_t12,truck,26,0.1562,0.025,0.165,0.12,0.357,0.043,0.378
ADAM_lr1e3_t12,urban,47,0.2763,0.0783,0.186,0.119,0.082,0.32,0.148
ADAM_lr1e3_t14,freeflow,50,0.2202,0.0509,0.323,0.444,0.452,0.3,0.517
ADAM_lr1e3_t14,highway,56,0.1738,0.0318,0.188,0.129,0.124,0.309,0.239
ADAM_lr1e3_t14,launch,102,0.2707,0.0759,0.331,0.273,0.227,0.187,0.289
ADAM_lr1e3_t14,mixed,19,0.2416,0.0617,0.285,0.119,0.115,0.215,0.125
ADAM_lr1e3_t14,truck,26,0.1446,0.0218,0.307,0.117,0.18,0.033,0.34
ADAM_lr1e3_t14,urban,47,0.2649,0.0727,0.245,0.126,0.076,0.356,0.195
ADAM_lr2e3_t08,freeflow,50,0.1752,0.0325,0.166,0.492,0.514,0.284,0.48
ADAM_lr2e3_t08,highway,56,0.1669,0.0293,0.206,0.12,0.353,0.302,0.174
ADAM_lr2e3_t08,launch,102,0.2528,0.0664,0.234,0.286,0.292,0.195,0.281
ADAM_lr2e3_t08,mixed,19,0.2509,0.0667,0.442,0.123,0.193,0.204,0.095
ADAM_lr2e3_t08,truck,26,0.1417,0.0209,0.421,0.12,0.152,0.033,0.296
ADAM_lr2e3_t08,urban,47,0.2662,0.073,0.484,0.134,0.21,0.318,0.204
ADAM_lr2e3_t10,freeflow,50,0.1809,0.0341,0.124,0.53,0.25,0.303,0.52
ADAM_lr2e3_t10,highway,56,0.1651,0.0287,0.208,0.122,0.101,0.301,0.17
ADAM_lr2e3_t10,launch,102,0.27,0.0759,0.197,0.318,0.101,0.213,0.306
ADAM_lr2e3_t10,mixed,19,0.2301,0.0556,0.409,0.119,0.088,0.217,0.136
ADAM_lr2e3_t10,truck,26,0.126,0.0163,0.404,0.113,0.125,0.025,0.331
