base,canale,A_grad,B_nrmse,C_delta,rankA,rankB,rankC
PEAK,v0,3.9686890033348565e-06,0.4999492442889526,-0.0457933794786321,5.0,1.0,5.0
PEAK,T,0.0009370735727737924,0.128509142667256,-0.0017653910165771891,1.0,5.0,1.0
PEAK,s0,0.00017737743748606023,0.1703613271896331,-0.002280812195323889,4.0,4.0,2.0
PEAK,a,0.0007524675754967538,0.3551905927035074,-0.0170303571652225,2.0,2.0,3.0
PEAK,b,0.0002492438027531454,0.2438864414217403,-0.033517933549716106,3.0,3.0,4.0
STABLE,v0,4.477833488949462e-06,0.4730095893765302,-0.03642943826444611,5.0,1.0,5.0
STABLE,T,0.0009254171516425645,0.1317690822819825,0.005651420121021683,1.0,4.0,2.0
STABLE,s0,0.00016711430207066912,0.1197044102041323,0.007074143757369894,4.0,5.0,1.0
STABLE,a,0.0007541391912992781,0.3581709483280319,-0.005723348640381015,2.0,2.0,4.0
STABLE,b,0.00025615144880098995,0.259729390741096,-0.0018059794018243092,3.0,3.0,3.0
