tag,scenario,optimizer,lr,variant_id,d_coef,d0,growth_rate,scheduler,desc,status,n_ep,val_total_best,best_ep,val_total_last,val_data_at_best,spike_rate_avg,gn_explosion_pct,lr_eff_start,lr_eff_max,lr_eff_end
R24F_highway_lr1.0_V01,highway,prodigy,1.0,V01,1.0,1e-06,inf,none,Reference canonical (W1+W3 only),OK,10,0.1771535456497618,9,0.197092245194189,0.1700179726281698,0.06241220800562739,5.4,1e-06,0.0132119323452518,0.0132119323452518
R24F_highway_lr1.0_V02,highway,prodigy,1.0,V02,0.5,1e-06,inf,none,Brake leggero (d_coef=0.5),OK,10,0.1700453081346572,10,0.1700453081346572,0.1651904358270954,0.08837935067316947,0.0,1e-06,0.0077935627572518,0.0077935627572518
R24F_highway_lr1.0_V03,highway,prodigy,1.0,V03,0.1,1e-06,inf,none,Brake medio (d_coef=0.1),OK,10,0.1750402011849144,9,0.176574170272401,0.1695762605584682,0.09480458943847007,0.0,1e-06,0.0033195957558466,0.0033195957558466
R24F_highway_lr1.0_V04,highway,prodigy,1.0,V04,0.01,1e-06,inf,none,Brake forte (d_coef=0.01),OK,10,0.2094802659876803,10,0.2094802659876803,0.2029200283453819,0.07638667248823539,0.1,1e-06,0.0004025014569895,0.0004025014569895
R24F_highway_lr1.0_V05,highway,prodigy,1.0,V05,1.0,1e-06,1.02,none,Growth_rate cap smooth (paper 1.02),OK,10,0.1830790415406227,5,0.2293187103214416,0.1758956469674693,0.10813024954355137,2.4,1e-06,0.0380191359705294,0.0380191359705294
R24F_highway_lr1.0_V06,highway,prodigy,1.0,V06,1.0,1e-06,1.01,none,Growth_rate cap stretto (1.01),OK,10,0.1907838217200751,10,0.1907838217200751,0.1814755546919843,0.07708945364116665,0.1,1e-06,0.0234481748293603,0.0234481748293603
R24F_highway_lr1.0_V07,highway,prodigy,1.0,V07,1.0,0.0001,inf,none,d0 preheat alto (canonical kohya),OK,10,0.1743209233626406,10,0.1743209233626406,0.1685172510036128,0.06631092602941896,0.0,0.0001,0.0105093940423249,0.0105093940423249
R24F_highway_lr1.0_V08,highway,prodigy,1.0,V08,1.0,1e-06,inf,cosine_no_restart,Cosine sched (decay finale),OK,10,0.168587011859772,10,0.168587011859772,0.1620298924836072,0.06732756921506304,0.0,1e-06,0.0132119323452518,0.000323331886338
R24F_highway_lr1.0_V09,highway,prodigy,1.0,V09,0.1,1e-06,1.02,cosine_no_restart,Combo brake + cap + cosine,OK,10,0.1840863124804294,10,0.1840863124804294,0.1791767165698903,0.09768059594318898,0.1,1e-06,0.0018609911059927,6.95842537413365e-05
R24F_highway_lr1.0_V10,highway,prodigy,1.0,V10,2.0,1e-06,inf,none,d_coef=2 canonical kohya,OK,10,0.2247061612124138,1,0.2247061612124138,0.2186259731571091,0.1739743288527143,185.3,1e-06,0.1043559856738515,0.1043559856738515
R24F_highway_lr0.5_V01,highway,prodigy,0.5,V01,1.0,1e-06,inf,none,Reference canonical (W1+W3 only),OK,10,0.1778592804169401,9,0.1844062467125502,0.1721139338977159,0.08686865835668553,0.0,5e-07,0.0058776586491979,0.0058776586491979
R24F_highway_lr0.5_V02,highway,prodigy,0.5,V02,0.5,1e-06,inf,none,Brake leggero (d_coef=0.5),OK,10,0.1750474390672876,9,0.1762026041904662,0.1688835325234748,0.08788667899814054,0.0,5e-07,0.0049001891730856,0.0049001891730856
R24F_highway_lr0.5_V03,highway,prodigy,0.5,V03,0.1,1e-06,inf,none,Brake medio (d_coef=0.1),OK,10,0.1832192644793936,10,0.1832192644793936,0.1782290007364242,0.09349930611775906,0.2,5e-07,0.0010707477497298,0.0010707477497298
R24F_highway_lr0.5_V04,highway,prodigy,0.5,V04,0.01,1e-06,inf,none,Brake forte (d_coef=0.01),OK,10,1.1751915863219728,10,1.1751915863219728,1.0474792252829734,0.06963923335709464,0.2,5e-07,1.3169188291140325e-06,1.3169188291140325e-06
R24F_highway_lr0.5_V05,highway,prodigy,0.5,V05,1.0,1e-06,1.02,none,Growth_rate cap smooth (paper 1.02),OK,10,0.1772151545403485,10,0.1772151545403485,0.1687470444260125,0.06820937279770346,0.1,5e-07,0.0096192082837703,0.0096192082837703
R24F_highway_lr0.5_V06,highway,prodigy,0.5,V06,1.0,1e-06,1.01,none,Growth_rate cap stretto (1.01),OK,10,0.1904818651444734,9,0.191334378568733,0.1849490231735275,0.08065685903693129,0.2,5e-07,0.0090984061343593,0.0090984061343593
R24F_highway_lr0.5_V07,highway,prodigy,0.5,V07,1.0,0.0001,inf,none,d0 preheat alto (canonical kohya),OK,10,0.1725549017416036,10,0.1725549017416036,0.1667691508030638,0.08906122045393315,0.1,5e-05,0.007372540804817,0.007372540804817
R24F_highway_lr0.5_V08,highway,prodigy,0.5,V08,1.0,1e-06,inf,cosine_no_restart,Cosine sched (decay finale),OK,10,0.1737811899882682,10,0.1737811899882682,0.1679054902509806,0.0916818712540763,0.0,5e-07,0.0045423308581756,0.0001412942210118
R24F_highway_lr0.5_V09,highway,prodigy,0.5,V09,0.1,1e-06,1.02,cosine_no_restart,Combo brake + cap + cosine,OK,10,0.237871309028978,10,0.237871309028978,0.2298644069344439,0.07899819541365856,0.5,5e-07,0.0002373702933515,1.0178022539601216e-05
R24F_highway_lr0.5_V10,highway,prodigy,0.5,V10,2.0,1e-06,inf,none,d_coef=2 canonical kohya,OK,10,0.1754657482688731,6,0.2278684188235313,0.1679410669318539,0.10718572575678212,0.1,5e-07,0.0156567105223719,0.0156567105223719
R24F_highway_lr0.1_V01,highway,prodigy,0.1,V01,1.0,1e-06,inf,none,Reference canonical (W1+W3 only),OK,10,0.2936210372346512,10,0.2936210372346512,0.2822238693528987,0.07102581031343083,0.2,1e-07,0.0002899785508806,0.0002899785508806
R24F_highway_lr0.1_V02,highway,prodigy,0.1,V02,0.5,1e-06,inf,none,Brake leggero (d_coef=0.5),OK,10,1.1752331464531574,10,1.1752331464531574,1.0475160579415077,0.06962859394979917,0.2,1e-07,2.3887313423646804e-06,2.3887313423646804e-06
R24F_highway_lr0.1_V03,highway,prodigy,0.1,V03,0.1,1e-06,inf,none,Brake medio (d_coef=0.1),OK,10,1.1765027510675978,6,1.1765715739828475,1.0485221065105277,0.06961784557578089,0.2,1e-07,1e-07,1e-07
R24F_highway_lr0.1_V04,highway,prodigy,0.1,V04,0.01,1e-06,inf,none,Brake forte (d_coef=0.01),OK,10,1.1765027510675978,6,1.1765715739828475,1.0485221065105277,0.06961784557578089,0.2,1e-07,1e-07,1e-07
R24F_highway_lr0.1_V05,highway,prodigy,0.1,V05,1.0,1e-06,1.02,none,Growth_rate cap smooth (paper 1.02),OK,10,0.2936210372346512,10,0.2936210372346512,0.2822238693528987,0.07102581031343083,0.2,1e-07,0.0002899785508806,0.0002899785508806
R24F_highway_lr0.1_V06,highway,prodigy,0.1,V06,1.0,1e-06,1.01,none,Growth_rate cap stretto (1.01),OK,10,0.3269255793792136,10,0.3269255793792136,0.3135139686154558,0.07094939743822556,0.2,1e-07,0.000250442091911,0.000250442091911
R24F_highway_lr0.1_V07,highway,prodigy,0.1,V07,1.0,0.0001,inf,none,d0 preheat alto (canonical kohya),OK,10,0.1953768022358417,10,0.1953768022358417,0.1896166396030086,0.08287792372457838,0.2,1e-05,0.0004063215742987,0.0004063215742987
R24F_highway_lr0.1_V08,highway,prodigy,0.1,V08,1.0,1e-06,inf,cosine_no_restart,Cosine sched (decay finale),OK,10,1.176444778417019,7,1.1764930707026036,1.0484879677917094,0.06962785735884876,0.2,1e-07,3.031497389544982e-07,1.2359439098109021e-08
R24F_highway_lr0.1_V09,highway,prodigy,0.1,V09,0.1,1e-06,1.02,cosine_no_restart,Combo brake + cap + cosine,OK,10,1.1765304510580732,8,1.1765304510580732,1.0485403929302033,0.06961799623008733,0.2,1e-07,1e-07,2.448149713500471e-09
R24F_highway_lr0.1_V10,highway,prodigy,0.1,V10,2.0,1e-06,inf,none,d_coef=2 canonical kohya,OK,10,0.1932612731260188,8,0.1953537766920759,0.1875300869900495,0.08683824191622908,0.3,1e-07,0.0008200865860285,0.0008200865860285
R24F_mixed_lr1.0_V01,mixed,prodigy,1.0,V01,1.0,1e-06,inf,none,Reference canonical (W1+W3 only),OK,10,0.2084136668275645,4,0.2597144896838259,0.1962896312408625,0.038986213488425,84.0,1e-06,0.0376390639355403,0.0376390639355403
R24F_mixed_lr1.0_V02,mixed,prodigy,1.0,V02,0.5,1e-06,inf,none,Brake leggero (d_coef=0.5),OK,10,0.2129268705290048,3,0.2882168533954214,0.2029124228481916,0.12886849220425997,110.2,1e-06,0.0234666880909206,0.0234666880909206
R24F_mixed_lr1.0_V03,mixed,prodigy,1.0,V03,0.1,1e-06,inf,none,Brake medio (d_coef=0.1),OK,10,0.1975393658305736,10,0.1975393658305736,0.186376473648434,0.06363283490881,0.8,1e-06,0.0062086077437479,0.0062086077437479
R24F_mixed_lr1.0_V04,mixed,prodigy,1.0,V04,0.01,1e-06,inf,none,Brake forte (d_coef=0.01),OK,10,0.2761666360608441,10,0.2761666360608441,0.2643348527477777,0.06064694862852382,0.1,1e-06,0.0004709787442065,0.0004709787442065
R24F_mixed_lr1.0_V05,mixed,prodigy,1.0,V05,1.0,1e-06,1.02,none,Growth_rate cap smooth (paper 1.02),OK,10,0.2544610542344286,4,0.303164652211869,0.2435728083265588,0.05820744098461367,86.4,1e-06,0.0404769482841497,0.0404769482841497
R24F_mixed_lr1.0_V06,mixed,prodigy,1.0,V06,1.0,1e-06,1.01,none,Growth_rate cap stretto (1.01),OK,10,0.2316419362149974,10,0.2316419362149974,0.2186257357292987,0.061786404664212036,0.0,1e-06,0.0228002626165017,0.0228002626165017
R24F_mixed_lr1.0_V07,mixed,prodigy,1.0,V07,1.0,0.0001,inf,none,d0 preheat alto (canonical kohya),OK,10,0.2144733339231065,4,0.3737328151597621,0.1994364978547426,0.06606612215016745,46.400000000000006,0.0001,0.0250425506551909,0.0250425506551909
R24F_mixed_lr1.0_V08,mixed,prodigy,1.0,V08,1.0,1e-06,inf,cosine_no_restart,Cosine sched (decay finale),OK,10,0.1953774578473035,10,0.1953774578473035,0.1831148673800078,0.03865350805906615,2.3,1e-06,0.039390728116831,0.0014728573454817
R24F_mixed_lr1.0_V09,mixed,prodigy,1.0,V09,0.1,1e-06,1.02,cosine_no_restart,Combo brake + cap + cosine,OK,10,0.2281448136460273,10,0.2281448136460273,0.217634563908932,0.07003866419433907,0.0,1e-06,0.0022897756796968,8.561692282874544e-05
R24F_mixed_lr1.0_V10,mixed,prodigy,1.0,V10,2.0,1e-06,inf,none,d_coef=2 canonical kohya,OK,10,0.2827879278028899,1,0.2827879278028899,0.270379969929444,0.0992362781407985,183.5,1e-06,0.0470085042101604,0.0470085042101604
R24F_mixed_lr0.5_V01,mixed,prodigy,0.5,V01,1.0,1e-06,inf,none,Reference canonical (W1+W3 only),OK,10,0.1950917505520455,9,0.2211537254934615,0.184360198300094,0.05525053447171883,2.4,5e-07,0.0195283606273255,0.0195283606273255
R24F_mixed_lr0.5_V02,mixed,prodigy,0.5,V02,0.5,1e-06,inf,none,Brake leggero (d_coef=0.5),OK,10,0.2089629746339422,6,0.2107451942135045,0.1993101264568085,0.06393853201570501,0.0,5e-07,0.0101992414846878,0.0101992414846878
R24F_mixed_lr0.5_V03,mixed,prodigy,0.5,V03,0.1,1e-06,inf,none,Brake medio (d_coef=0.1),OK,10,0.2328191892580783,10,0.2328191892580783,0.2222533219672263,0.07106939474160362,0.0,5e-07,0.0011894465218343,0.0011894465218343
R24F_mixed_lr0.5_V04,mixed,prodigy,0.5,V04,0.01,1e-06,inf,none,Brake forte (d_coef=0.01),OK,10,1.1268284010126235,8,1.1269874407889997,0.8930218725445422,0.05864243992267447,0.1,5e-07,1.0255951027435422e-06,1.0255951027435422e-06
R24F_mixed_lr0.5_V05,mixed,prodigy,0.5,V05,1.0,1e-06,1.02,none,Growth_rate cap smooth (paper 1.02),OK,10,0.2040947244126112,9,0.2239497896838695,0.1936209124532786,0.056424014023604176,0.0,5e-07,0.0162901468892396,0.0162901468892396
R24F_mixed_lr0.5_V06,mixed,prodigy,0.5,V06,1.0,1e-06,1.01,none,Growth_rate cap stretto (1.01),OK,10,0.237480434807057,10,0.237480434807057,0.2239722269884449,0.06406374237440679,0.0,5e-07,0.0085306786510544,0.0085306786510544
R24F_mixed_lr0.5_V07,mixed,prodigy,0.5,V07,1.0,0.0001,inf,none,d0 preheat alto (canonical kohya),OK,10,0.1991076002174869,9,0.2279065691251704,0.1875493194353073,0.08439621967065361,23.200000000000003,5e-05,0.0148314926457759,0.0148314926457759
R24F_mixed_lr0.5_V08,mixed,prodigy,0.5,V08,1.0,1e-06,inf,cosine_no_restart,Cosine sched (decay finale),OK,10,0.1887015574314492,10,0.1887015574314492,0.1805535644847662,0.07137302101807705,0.0,5e-07,0.006277223389132,0.0002347206736331
