tag,scenario,status,n_ep,val_total_best,val_total_last,val_data_best,val_phys_at_best,val_ou_at_best,val_sr_at_best,best_ep,spike_rate_avg,spike_rate_last,grad_norm_avg,optimizer,lr,variant_id,gn_explosion_pct,lr_eff_max,lr_eff_end
R24F_full_adamw_lr1e-3,full,OK,10,0.2529959994110655,0.2759708145514448,0.2421834253250284,0.065738913726973,0.0126812926969154,0.0048238393105071,9,0.0816874184348481,0.0838389602351061,0.6181361816003917,adamw,0.001,ADAMW_REF,0.0,,
R24F_full_lr0.1_V01,full,OK,10,0.8956281779769887,0.8956281779769887,0.7464968053267357,0.6033967493220846,0.0295025505660537,0.0082017351982203,10,0.05982981521556983,0.0597980396544679,3.9980634478926653,prodigy,0.1,V01,0.0,0.0001048039976117,0.0001048039976117
R24F_full_lr0.1_V02,full,OK,10,1.1076593508428716,1.1076593508428716,0.9114693257402866,0.904622956951882,0.0320303035265904,0.00819379455618,10,0.05982114973854506,0.0598363954217193,4.047611807525158,prodigy,0.1,V02,0.0,1.3626145046957903e-06,1.3626145046957903e-06
R24F_full_lr0.1_V03,full,OK,10,1.1084996090924486,1.1084996090924486,0.912171519975713,0.9062640427591953,0.0320979623381603,0.0081974666397225,10,0.05981519692280187,0.0598157529540835,4.0482791466712955,prodigy,0.1,V03,0.0,1e-07,1e-07
R24F_full_lr0.1_V04,full,OK,10,1.1084996090924486,1.1084996090924486,0.912171519975713,0.9062640427591953,0.0320979623381603,0.0081974666397225,10,0.05981519692280187,0.0598157529540835,4.0482791466712955,prodigy,0.1,V04,0.0,1e-07,1e-07
R24F_full_lr0.1_V05,full,OK,10,0.8956281779769887,0.8956281779769887,0.7464968053267357,0.6033967493220846,0.0295025505660537,0.0082017351982203,10,0.05982981521556983,0.0597980396544679,3.9980634478926653,prodigy,0.1,V05,0.0,0.0001048039976117,0.0001048039976117
R24F_full_lr0.1_V06,full,OK,10,0.8959252301682817,0.8959252301682817,0.7467437105927062,0.6039093058516688,0.0294651770865188,0.0082014493837437,10,0.05982993574456328,0.0597997329970623,3.997703715741634,prodigy,0.1,V06,0.0,0.0001043563765359,0.0001043563765359
R24F_full_lr0.1_V07,full,OK,10,0.2708021396810704,0.2708021396810704,0.2594967610103653,0.0761314672517015,0.0180778178049528,0.0044689047109444,10,0.06864944428918837,0.0842387164606058,2.5191713631227612,prodigy,0.1,V07,0.0,0.0004930064106787,0.0004930064106787
R24F_full_lr0.1_V08,full,OK,10,1.1084739418422922,1.1084739418422922,0.9121665265014832,0.9062341155999518,0.0320971498384754,0.008197487292296,9,0.05981527593066083,0.0598156385202991,4.04769636964798,prodigy,0.1,V08,0.0,1.9847346485052346e-07,7.915660822427173e-09
R24F_full_lr0.1_V09,full,OK,10,1.1086101677823574,1.1086200171328606,0.9122691956606316,0.9064715486416156,0.0321059671943967,0.0081975951102225,7,0.05981494013537112,0.0598150771903864,4.048790702641011,prodigy,0.1,V09,0.0,1e-07,2.448149713500471e-09
R24F_full_lr0.1_V10,full,OK,10,0.2680828343839087,0.2729957739406444,0.2558499197772843,0.0728936854333795,0.0148163729327473,0.0047788530813549,9,0.06939883267388063,0.0842023039672603,2.4768740168884396,prodigy,0.1,V10,0.0,0.0009842178156492,0.0009842178156492
R24F_full_lr0.5_V01,full,OK,10,0.2369072274007695,0.2458698073837985,0.2258533224701247,0.0577161237547927,0.0069331895470856,0.0095092360242369,6,0.05397756229788851,0.029548558366901,161934.8751911119,prodigy,0.5,V01,0.7000000000000001,0.017052670991872,0.017052670991872
R24F_full_lr0.5_V02,full,OK,10,0.2316747201567,0.2385050429308668,0.2198730602939712,0.0537329343088129,0.0056028122062537,0.0102932876733904,9,0.06518981560093765,0.0529096483034973,0.9660598241165281,prodigy,0.5,V02,0.0,0.0074802915924696,0.0074802915924696
R24F_full_lr0.5_V03,full,OK,10,0.2550794829792799,0.2614391706883907,0.2445089496038061,0.0672439510681408,0.0146906601483041,0.0043951197511249,9,0.07485899203754165,0.0884985670526611,1.9493465999253092,prodigy,0.5,V03,0.0,0.0011935814105788,0.0011935814105788
R24F_full_lr0.5_V04,full,OK,10,1.107573408554209,1.1076494369735108,0.9114040286934122,0.9045108585281576,0.0320269811026593,0.0081936117197248,9,0.059829890155332466,0.05983788163421,4.047427296757698,prodigy,0.5,V04,0.0,1.0376283280786674e-06,1.0376283280786674e-06
R24F_full_lr0.5_V05,full,OK,10,0.2324125411662649,0.2379201499626357,0.2197004666829362,0.0536674727447965,0.0093240239112538,0.0118322177725705,9,0.05795843313507572,0.0499449917016194,1.7716903487816456,prodigy,0.5,V05,0.0,0.0113008590038458,0.0113008590038458
R24F_full_lr0.5_V06,full,OK,10,0.2626586788274506,0.2892954599984149,0.2509486807629149,0.0718803002642705,0.0161962811141572,0.0045468229106924,9,0.0672436810673234,0.0731298107297179,2.6983233007080853,prodigy,0.5,V06,0.0,0.0085365024343321,0.0085365024343321
R24F_full_lr0.5_V07,full,OK,10,0.2280480991652671,0.2495637453616933,0.2135481553825926,0.0516392307559107,0.0047668753943574,0.0108352174457321,7,0.05680907939243662,0.0472319861279523,135291.04511909714,prodigy,0.5,V07,0.2,0.013813058777075,0.013813058777075
R24F_full_lr0.5_V08,full,OK,10,0.2302796093628127,0.2302796093628127,0.2201961474294992,0.0555555861458142,0.0072162464766347,0.0056343080622684,10,0.07069475390908721,0.0776632834582569,6.301580083523377e+16,prodigy,0.5,V08,18.5,0.0067751446193729,0.0002509937580817
R24F_full_lr0.5_V09,full,OK,10,0.5143746202613445,0.5143746202613445,0.434096245055503,0.2011901961758415,0.015812074889409,0.0072295354949211,10,0.0626851502389825,0.0655796519540091,14.849707451105118,prodigy,0.5,V09,0.0,0.0001088317738622,5.450389979985186e-06
R24F_full_lr0.5_V10,full,OK,10,0.2294524253365841,0.2526980429649987,0.2169337612477705,0.0535800152983357,0.0078931875759735,0.0110674784419701,6,0.04318036209950417,0.0247418762412556,40169791136718.086,prodigy,0.5,V10,0.5,0.0258236770765935,0.0258236770765935
R24F_full_lr1.0_V01,full,OK,10,0.2410223143214875,0.3577772070990598,0.2284988400110222,0.0609950504050233,0.0055303598600538,0.0118908978394292,5,0.0384454713733074,0.0390089253221262,5369635923792032.0,prodigy,1.0,V01,75.7,0.0723955093440447,0.0723955093440447
