tag,axis,n_ep,best_ep,val_total,val_data,T_tracking_corr,T_intra_corr,v0_pred_best,s0_pred_best,gn_max_preclip,lr,lambda_T_aux
R29v2_D2_C2_epochs20,D_long,20,17,0.1765156046467575,0.1699103095192224,0.5089415311813354,0.0421419031918048,41.57838091951736,1.9545295409699703,7.966863922907773e+16,0.5,0.0
R29v2_C3_init_per_channel,C_combo,10,9,0.1823672223439876,0.1765289085501052,0.4967207014560699,0.0378163233399391,40.47702620891815,2.3442432474582757,40.557128851485096,0.5,0.0
R29v2_D1_C1_epochs20,D_long,20,17,0.1729421694465774,0.1670160999799028,0.3999800086021423,0.0301322415471076,42.64341536988604,3.4227128884893783,1.6074571555828765e+19,0.5,0.0
R29v2_B4_tau5to1_exp,B_tau,5,5,0.2035253640819103,0.1939527422110451,0.312577337026596,0.0255604404956102,38.4186501401536,1.4716503563079428,1.6327634914917622e+19,0.5,0.0
R29v2_B1_tau3to1_lin,B_tau,10,8,0.1862361811973313,0.1769129782915115,0.3500612378120422,0.0243145395070314,39.36330358018267,1.567021408613692,32125.43404019688,0.5,0.0
R29v2_B2_tau5to1_lin,B_tau,10,7,0.1809173219222971,0.1741771719002343,0.3610486984252929,0.0235424228012561,41.30608718953234,2.330654396655712,9.347522989913598,0.5,0.0
R29v2_B3_tau10to1_lin,B_tau,7,7,0.1838607647198628,0.177298819368824,0.3417697548866272,0.0232494603842496,41.584357708058455,1.6160682091053495,7.329695710916768e+18,0.5,0.0
R29v2_E0_baseline,E_control,10,10,0.1887015574314492,0.1805535644847662,0.2556754350662231,0.0151893310248851,33.96583361321307,1.6321172219641664,21.79016568561076,0.5,0.0
R29v2_E1_no_po2,E_control,10,10,0.1853008219536314,0.1759664408387022,0.2791261374950409,0.0123964678496122,38.41245294124522,1.3919097476817193,1518.7112375845386,0.5,0.0
R29v2_C2_init_tau10,C_combo,4,4,0.2180221190160893,0.2112632139803881,0.1180468723177909,0.009595600888133,39.04336073043498,1.3413402679118704,1.116226347053698e+19,0.5,0.0
R29v2_A1_init_shift,A_init,7,7,0.2037738736005539,0.1913524726207586,0.1188083738088607,0.007241069804877,36.935144505602246,1.427568386209772,535917335376759.1,0.5,0.0
R29v2_C1_init_tau5,C_combo,7,4,0.2210084585314418,0.2135805282939938,0.1095711588859558,0.0071732569485902,39.71642514492603,1.6193850826709828,8.140378872344031e+18,0.5,0.0
