epoch,train_total,train_data,train_phys,train_ou,train_bc,train_sr,val_total,val_data,val_phys,val_ou,val_bc,val_sr,lr,grad_norm,spike_rate,time_s,prodigy_d,prodigy_d_max,prodigy_lr_eff
1,0.12033997237682342,0.10933863863348961,0.08117205590009689,0.034872098509304124,0.0,0.002281050183575566,0.22990335524082184,0.2226592733108617,0.05233180080540478,5.426424647649061e-06,0.0,0.004021267646903846,1.0,5458.0727642761285,0.21299180111035387,141.999675989151,0.1120949397101725,0.1120949397101725,0.1120949397101725
2,0.0,0.0,0.0,0.0,0.0,0.0,0.22990335524082184,0.2226592733108617,0.05233180080540478,5.426424647649061e-06,0.0,0.004021267646903846,1.0,0.0,0.21299180111035387,142.5108687877655,0.1120949397101725,0.1120949397101725,0.1120949397101725
3,0.0,0.0,0.0,0.0,0.0,0.0,0.22990335524082184,0.2226592733108617,0.05233180080540478,5.426424647649061e-06,0.0,0.004021267646903846,1.0,0.0,0.21299180111035387,142.45909523963928,0.1120949397101725,0.1120949397101725,0.1120949397101725
4,0.0,0.0,0.0,0.0,0.0,0.0,0.22990335524082184,0.2226592733108617,0.05233180080540478,5.426424647649061e-06,0.0,0.004021267646903846,1.0,0.0,0.21299180111035387,144.14730501174927,0.1120949397101725,0.1120949397101725,0.1120949397101725
5,0.0,0.0,0.0,0.0,0.0,0.0,0.22990335524082184,0.2226592733108617,0.05233180080540478,5.426424647649061e-06,0.0,0.004021267646903846,1.0,0.0,0.21299180111035387,143.10397052764893,0.1120949397101725,0.1120949397101725,0.1120949397101725
6,0.0,0.0,0.0,0.0,0.0,0.0,0.22990335524082184,0.2226592733108617,0.05233180080540478,5.426424647649061e-06,0.0,0.004021267646903846,1.0,0.0,0.21299180111035387,145.50317668914795,0.1120949397101725,0.1120949397101725,0.1120949397101725
7,0.0,0.0,0.0,0.0,0.0,0.0,0.22990335524082184,0.2226592733108617,0.05233180080540478,5.426424647649061e-06,0.0,0.004021267646903846,1.0,0.0,0.21299180111035387,143.65240621566772,0.1120949397101725,0.1120949397101725,0.1120949397101725
8,0.0,0.0,0.0,0.0,0.0,0.0,0.22990335524082184,0.2226592733108617,0.05233180080540478,5.426424647649061e-06,0.0,0.004021267646903846,1.0,0.0,0.21299180111035387,142.6434726715088,0.1120949397101725,0.1120949397101725,0.1120949397101725
9,0.0,0.0,0.0,0.0,0.0,0.0,0.22990335524082184,0.2226592733108617,0.05233180080540478,5.426424647649061e-06,0.0,0.004021267646903846,1.0,0.0,0.21299180111035387,142.60060620307922,0.1120949397101725,0.1120949397101725,0.1120949397101725
10,0.0,0.0,0.0,0.0,0.0,0.0,0.22990335524082184,0.2226592733108617,0.05233180080540478,5.426424647649061e-06,0.0,0.004021267646903846,1.0,0.0,0.21299180111035387,141.62655687332153,0.1120949397101725,0.1120949397101725,0.1120949397101725
