tag,axis,n_ep,planned_ep,Tp_ep,Tp,val_data@Tp,T_track@Tp,vb_ep,val_data@vb,T_intra@vb,spike_train,gn_max,init_shift,tau_per_ch,tau_init,tau_final,tau_sched,hidden,lambda_sr,lambda_T_aux,lambda_s0_aux,scheduler
R31_A3_C3_ep50_warmrestart,A_duration,32,50,15,0.0599213130772113,0.1668721865862608,0.5471850037574768,30,0.1639171961615694,0.0184632316231727,0.10679444034555641,4278.26178319378,1,"10.0,3.0,10.0,3.0,3.0",1.0,1.0,const,32,0.5,0.0,0.0,cosine
R31_A1_C3_ep30,A_duration,14,30,12,0.0572951808571815,0.1701824387059884,0.5560935139656067,11,0.1680604395397166,0.0400152206420898,0.09891755340745048,3852278834.079437,1,"10.0,3.0,10.0,3.0,3.0",1.0,1.0,const,32,0.5,0.0,0.0,cosine_no_restart
R31_E2_triple_C3_h16_Taux_ep50,E_triple,15,50,13,0.051653929054737,0.1846623745291156,0.4025332927703857,11,0.1782057572631759,0.0473234727978706,0.11419276572531085,3.170771312465665e+18,1,"10.0,3.0,10.0,3.0,3.0",1.0,1.0,const,16,0.5,0.1,0.0,cosine_no_restart
R31_A2_C3_ep50,A_duration,11,50,8,0.0511362478137016,0.1914442243411186,0.4155689477920532,10,0.1739693427498036,0.038428284227848,0.10629781990622476,2.444955257597765e+18,1,"10.0,3.0,10.0,3.0,3.0",1.0,1.0,const,32,0.5,0.0,0.0,cosine_no_restart
R31_C3_C3_plus_Taux_ep30,C_combos,15,30,11,0.0508452616631984,0.1719976824490313,0.542076826095581,11,0.1719976824490313,0.0508452616631984,0.0990719003975391,1.4150446275532356e+19,1,"10.0,3.0,10.0,3.0,3.0",1.0,1.0,const,32,0.5,0.1,0.0,cosine_no_restart
R31_B3_pc_mild_ep50,B_per_channel,15,50,11,0.0461920425295829,0.1745916238609463,0.5334146022796631,13,0.1731634304482252,0.0458048358559608,0.10469004042912271,2.153426653718103e+19,1,"5.0,3.0,5.0,3.0,3.0",1.0,1.0,const,32,0.5,0.0,0.0,cosine_no_restart
R31_B2_pc_balanced_ep50,B_per_channel,11,50,10,0.042865090072155,0.1763868724253583,0.3972553014755249,10,0.1763868724253583,0.042865090072155,0.11962278770903742,2.6580047616056246e+19,1,"10.0,5.0,10.0,5.0,5.0",1.0,1.0,const,32,0.5,0.0,0.0,cosine_no_restart
R31_C4_C3_plus_s0aux_ep30,C_combos,8,30,7,0.0424323305487632,0.2047077003232342,0.3478954434394836,6,0.1797358182040934,0.0329691395163536,0.09951299603200618,4.0137909250430326e+18,1,"10.0,3.0,10.0,3.0,3.0",1.0,1.0,const,32,0.5,0.0,0.1,cosine_no_restart
R31_C1_C3_plus_sr5_ep30,C_combos,16,30,16,0.0424133576452732,0.1786710430491478,0.4067570269107818,11,0.1749726925441559,0.0346591994166374,0.13444799983983527,60536112044.26144,1,"10.0,3.0,10.0,3.0,3.0",1.0,1.0,const,32,5.0,0.0,0.0,cosine_no_restart
R31_C2_C3_plus_hidden16_ep30,C_combos,14,30,4,0.0385981388390064,0.1991039843476833,0.3173191249370575,9,0.1782554385668419,0.0194965917617082,0.12018513779093819,28228347.32383645,1,"10.0,3.0,10.0,3.0,3.0",1.0,1.0,const,16,0.5,0.0,0.0,cosine_no_restart
R31_E1_triple_C3_h16_sr5_ep50,E_triple,50,50,28,0.0377039387822151,0.1731395180872146,0.4614851772785187,49,0.1629385636089013,0.007530799601227,0.14519629706591364,1276421.1512244618,1,"10.0,3.0,10.0,3.0,3.0",1.0,1.0,const,16,5.0,0.0,0.0,cosine_no_restart
R31_D1_scalar_init_tau5_ep30,D_scalar_long,8,30,6,0.0325596891343593,0.185672092271295,0.4172820150852203,6,0.185672092271295,0.0325596891343593,0.10408469812737568,4.963136465043813e+17,1,,5.0,1.0,linear,32,0.5,0.0,0.0,cosine_no_restart
R31_B1_pc_aggressive_ep50,B_per_channel,5,50,4,0.0138741433620452,0.2023404640086153,0.1906106919050216,4,0.2023404640086153,0.0138741433620452,0.1020749886706471,1.7658393863640891e+19,1,"15.0,3.0,15.0,3.0,3.0",1.0,1.0,const,32,0.5,0.0,0.0,cosine_no_restart
R31_D2_scalar_init_tau10_ep30,D_scalar_long,3,30,1,0.0108766127377748,0.3868289896623885,-0.0020941968541592,3,0.2171272992929245,0.0104800127446651,0.12810793053358793,1804310263465.1292,1,,10.0,1.0,linear,32,0.5,0.0,0.0,cosine_no_restart
