tag,axis,n_ep,planned_ep,Tp_ep,Tp,val_data@Tp,T_track@Tp,vb_ep,val_data@vb,spike_train,gn_max,hidden,lambda_sr,restart_T0,restart_decay,restart_lr_after,restart_warmup,restart_adaptive,hit_T,hit_V,hit_S,hit_C,n_hits
R32_A3_C3_adaptive,A_C3_base,25,50,14,0.0650879219174385,0.1916358942918955,0.5390546321868896,12,0.1702876831305788,0.10637484223653486,1.0672537597599769e+19,32,0.5,15,1.0,-1.0,0,1,True,False,True,False,2
R32_A4_C3_warmup2ep,A_C3_base,41,50,26,0.0635187476873397,0.1657262151624928,0.5213279128074646,30,0.1649874082588135,0.10833732462000277,12104935607011.28,32,0.5,15,1.0,-1.0,2,0,True,True,True,False,3
R32_B3_E1_adaptive,B_E1_base,19,50,12,0.0626258626580238,0.1788186444009238,0.5527368783950806,13,0.1753779753567056,0.1437700797505677,3.885548104765569e+18,16,5.0,15,1.0,-1.0,0,1,True,True,True,False,3
R32_A1_C3_decay03,A_C3_base,25,50,19,0.0577394589781761,0.1685681857287566,0.5417636632919312,21,0.1633275884223428,0.11520983319299721,654015.9746030456,32,0.5,15,0.3,-1.0,0,0,True,True,True,False,3
R32_A2_C3_2tier_015,A_C3_base,25,50,19,0.0577394589781761,0.1685681857287566,0.5417636632919312,21,0.1633275884223428,0.11520983319299721,654015.9746030456,32,0.5,15,1.0,0.15,0,0,True,True,True,False,3
R32_A5_C3_decay03_warmup2,A_C3_base,27,50,20,0.0526040755212307,0.1631209622434479,0.5778935551643372,26,0.1627214432674202,0.11620591085803292,2.1195837056541667e+19,32,0.5,15,0.3,-1.0,2,0,True,True,True,False,3
R32_B5_E1_decay03_warmup2,B_E1_base,50,50,20,0.0519090741872787,0.1770444593213974,0.5186437368392944,40,0.162630073983777,0.14769834231287238,5268791669.468734,16,5.0,15,0.3,-1.0,2,0,True,True,True,False,3
R32_B1_E1_decay03,B_E1_base,50,50,14,0.049986932426691,0.1708886207457869,0.4336419701576233,44,0.161083003169203,0.14749990413039918,5268791669.468734,16,5.0,15,0.3,-1.0,0,0,True,True,True,False,3
R32_B2_E1_2tier_015,B_E1_base,50,50,14,0.049986932426691,0.1708886207457869,0.4336419701576233,44,0.1609134381002885,0.1467055041223764,5268791669.468734,16,5.0,15,1.0,0.15,0,0,True,True,True,False,3
R32_B4_E1_warmup2ep,B_E1_base,18,50,14,0.049986932426691,0.1708886207457869,0.4336419701576233,15,0.1707005581838336,0.1435946555278803,7962449393319555.0,16,5.0,15,1.0,-1.0,2,0,True,True,True,False,3
