study,tag,n_ep,val_best_ep,val_data@best,T_intra@best,Tintra_peak_ep,Tintra_PEAK,val_data@Tpeak,gn_max_overall
R25_v2,R25v2_A2_seq_len_short,10,9,0.1820683800379435,0.0037883927579969,6,0.0081221153959631,0.2143511609633763,3043882763180428.0
R25_v2,R25v2_A3_seq_len_long,10,10,0.1837669222595843,0.0189243666827678,9,0.0207997262477874,0.18690643063251,3.608369270772241e+16
R25_v2,R25v2_A4_delay_long,10,10,0.187249879491456,0.0148572167381644,10,0.0148572167381644,0.187249879491456,1615767513436700.0
R25_v2,R25v2_A5_leak_slow,8,7,0.1954758623020446,0.0277114622294902,8,0.0285918209701776,0.1973877713639051,24461891346.632526
R25_v2,R25v2_A6_combo_memory,7,7,0.20095968301943,0.0201471056789159,6,0.0246819090098142,0.2041772768852558,1.610177443757262e+18
R25_v2,R25v2_A1_baseline,10,10,0.1805535644847662,0.0151893310248851,10,0.0151893310248851,0.1805535644847662,21.79016568561076
R25_v2,R25v2_B1_T_aux_low,10,10,0.1798719524386081,0.0171567983925342,10,0.0171567983925342,0.1798719524386081,21.81158944281069
R25_v2,R25v2_B2_T_aux_mid,9,8,0.1818708223786125,0.0187827125191688,9,0.0215506125241518,0.2109086162787168,2.1984802967275987e+19
R25_v2,R25v2_B3_T_aux_high,8,7,0.1853368621953624,0.0301009435206651,7,0.0301009435206651,0.1853368621953624,21829212572241.234
R25_v2,R25v2_C1_sr_off,7,7,0.1851140503632895,0.0087995817884802,4,0.0093527203425765,0.2052635300032635,1.8355184520017416e+19
R25_v2,R25v2_C2_sr_high,10,10,0.1856771735276313,0.0228127092123031,8,0.0288677979260683,0.2006467463884582,21.786159621896523
R25_v2,R25v2_C3_sr_very_high,10,10,0.194012924553232,0.00835030246526,8,0.0109352469444274,0.2380984203216243,21.773458745502527
R25_v2,R25v2_D1_small,10,10,0.1838491017672609,0.0185871664434671,8,0.0277650877833366,0.1907814245750295,6.937630903996531
R25_v2,R25v2_D2_mid,7,7,0.1782083195495478,0.0046710665337741,5,0.0100833466276526,0.1905844985170567,8.967996180005082e+16
R25_v2,R25v2_D3_large,6,3,0.2106341971282629,0.0100863119587302,3,0.0100863119587302,0.2106341971282629,1.7253512161278337e+19
R25_v2,R25v2_E1_short,5,5,0.2035708858215428,0.002001829445362,3,0.0037453703116625,0.2211050367418756,21.79016568561076
R25_v2,R25v2_E2_long,5,4,0.2053716783907185,0.0052078878507018,4,0.0052078878507018,0.2053716783907185,3.0918910851957366e+18
R25_v2,R25v2_E3_very_long,30,30,0.161101583232905,0.0283363033086061,14,0.0312932580709457,0.180305424403954,2.1322673906653391e+18
R26_v2,R26v2_F0_baseline_replica,10,10,0.1805535644847662,0.0151893310248851,10,0.0151893310248851,0.1805535644847662,21.79016568561076
R26_v2,R26v2_F1_TRIPLE_win,10,8,0.1895064323982025,0.0136316213756799,10,0.0205402988940477,0.1934215149426079,50410848838.311325
R26_v2,R26v2_F2_A4_B1,10,10,0.1878257280889343,0.0128636732697486,9,0.0138425910845398,0.1949267698887815,2055249907937.013
R26_v2,R26v2_F3_B1_C1,10,10,0.1805051827525839,0.026541082188487,10,0.026541082188487,0.1805051827525839,4.813447549674856e+17
