tag,axis,n_ep,best_ep,val_total_best,val_data_best,val_phys_best,val_ou_best,spike_rate_best,val_T_tracking_corr_best,val_T_intra_std_best,val_v0_pred_mean_best,val_T_pred_mean_best,val_s0_pred_mean_best,val_a_pred_mean_best,val_b_pred_mean_best,dval,dTcorr
R25_A2_seq_len_short,A_memory,10,10,0.1781707889130038,0.1678155373060895,0.0328764708367206,0.0147458844397577,0.0434513797983527,0.2895278036594391,0.0902146919960937,38.40421602187618,1.2055716368459886,3.81181867430287,0.3842899571503362,1.403806480669206,-0.0172066689342997,-0.06319403648376459
R25_A3_seq_len_long,A_memory,10,10,0.184488057614641,0.1738091660465331,0.0319572255074819,0.008254270861916,0.0474165764419322,0.3923378586769104,0.095416114566491,34.416523933410645,1.207902174046699,3.301285195857921,0.3966978956410225,1.344246930264412,-0.010889400232662522,0.03961601853370672
R25_A4_delay_long,A_memory,10,10,0.179997254440442,0.1707594545676987,0.0325455225092616,0.012480626888375,0.0585426984929499,0.4422426521778106,0.0885878809668282,38.151837135883085,1.2987824716466538,1.209691033718434,0.4109715253431746,1.280919189782853,-0.015380203406861498,0.08952081203460693
R25_A5_leak_slow,A_memory,10,3,0.2070960130819931,0.1954934710161166,0.0441486254975972,0.0064099910830028,0.038427237015059,0.2808755040168762,0.0582054705814795,36.02508428248953,1.2682850538416113,1.7057842580561942,0.3760772802411242,1.1666533788467974,0.011718555234689593,-0.07184633612632746
R25_A6_combo_memory,A_memory,10,10,0.1846133173304669,0.175077940872375,0.0325852580507226,0.0106058319376662,0.0532653214449578,0.2003270536661148,0.101566551490984,30.010742491864143,1.1462507254265724,3.561230740648635,0.3739577122825257,1.1703662333336282,-0.010764140516836607,-0.15239478647708887
R25_A1_baseline_replica,BASELINE,10,10,0.1953774578473035,0.1831148673800078,0.0368592392682949,0.0158131792150596,0.0343797590652916,0.3527218401432037,0.0884400228870676,30.68177780191949,1.0634507175455703,3.6434781208951423,0.4254275010304248,1.3345628095434068,0.0,0.0
R25_B1_T_aux_low,B_loss,10,9,0.1897758006296576,0.1744012792218238,0.0345176208969899,0.0077944494885432,0.041642486058334,0.5000502467155457,0.0644285427208276,39.72832899905266,1.24141289769335,1.816612848576079,0.3981227356385677,1.1849938405955092,-0.005601657217645911,0.14732840657234197
R25_B2_T_aux_mid,B_loss,10,10,0.2399007784242325,0.1863703648856979,0.039102792868668,0.0077513772319318,0.0261639599153336,0.5594788789749146,0.0608662253027742,36.18711677510688,1.2456876083891442,1.7435041241189266,0.5010573076123886,1.2150814067176048,0.04452332057692898,0.20675703883171087
R25_B3_T_aux_high,B_loss,10,7,0.541833998516519,0.1736974159770823,0.0337882195128762,0.0039959897403605,0.0339953566386186,0.5770019888877869,0.0479212863707637,35.18131291612666,1.192858155420486,2.0171269019867517,0.3899142998964228,1.2794821490632726,0.3464565406692155,0.22428014874458319
R25_C1_sr_off,C_spike_rate,10,10,0.1819249575838763,0.1752790613694393,0.0339851521990915,0.013619843990532,0.0229084426339002,0.4404276013374328,0.0795698699917882,35.97348441468908,1.2913121885441718,1.636077494697368,0.4341130989029052,1.38810381673752,-0.013452500263427203,0.08770576119422913
R25_C2_sr_high,C_spike_rate,10,10,0.2048986608439937,0.1902498114021851,0.0399258851613651,0.0079583701519097,0.1384270418474966,0.11310326308012,0.076047731781418,40.06392798525222,1.1924783511364714,3.7840092689433,0.405648390504908,1.0827122993291691,0.009521202996690181,-0.23961857706308368
R25_C3_sr_very_high,C_spike_rate,10,9,0.2075130981492235,0.1797009511513912,0.0365418768302101,0.0124234622592066,0.137563925949817,0.2751615941524505,0.0907546930768071,44.237913192586696,1.1282657283417723,3.899531240158893,0.3957815520623897,1.294672656883585,0.012135640301919992,-0.07756024599075317
R25_D1_small,D_capacity,10,10,0.1780522140139278,0.1708805363902703,0.0325994103988434,0.0131654729521734,0.0912257344164746,0.282739907503128,0.0976325161556931,37.63296760396754,1.160084753911546,4.172035659881348,0.3767833876165938,1.3788165332789115,-0.01732524383337572,-0.06998193264007568
R25_D2_mid,D_capacity,10,10,0.1914745464207644,0.1765509376183469,0.0351979923137324,0.0250566556227413,0.0337071148480506,0.4205202162265777,0.1072242950148722,40.31421518325806,1.2647574664430414,2.1959346253821197,0.4157072075820984,1.528069959993058,-0.0039029114265391185,0.06779837608337402
R25_D3_large,D_capacity,10,1,0.3992593454078157,0.3806371637322801,0.1552439566622389,0.0120522960614254,0.0803157118485963,0.018296031281352,0.0606613967944174,27.70307040721812,0.5880736949595999,1.210067777557576,0.319367785878638,0.5032021013346124,0.2038818875605122,-0.3344258088618517
R25_E1_short,E_duration,5,5,0.1892021776949788,0.1771823513381024,0.034754547067581,0.0106559273999858,0.037904952315891,0.342634916305542,0.075536713578758,38.41997410388703,1.2589607720679423,2.283641718803568,0.4194315079044788,1.4580470405994577,-0.006175280152324714,-0.010086923837661688
R25_E2_long,E_duration,20,19,0.178371868413338,0.1689138323504557,0.0315949184872071,0.0108942164484649,0.0528305254955875,0.2259667366743087,0.096606976035586,38.570114622724816,1.1831875909516152,3.796885633722265,0.3732323914449266,1.1760780779605216,-0.017005589433965518,-0.126755103468895
R25_E3_very_long,E_duration,30,2,0.2299840801415291,0.2169554754299052,0.0557536992090853,0.0061523635175693,0.0383454333455797,0.0773260295391082,0.0590586227939484,36.618002962558826,1.2337688695877156,1.7651869483450626,0.4619383258705443,1.297083872429868,0.03460662229422559,-0.27539581060409546
