epoch,train_total,train_data,train_phys,train_ou,train_bc,train_sr,val_total,val_data,val_phys,val_ou,val_bc,val_sr,lr,grad_norm,spike_rate,time_s,prodigy_d,prodigy_d_max,prodigy_lr_eff,val_T_tracking_corr,val_T_intra_corr,val_v0_pred_mean,val_T_pred_mean,val_s0_pred_mean,val_a_pred_mean,val_b_pred_mean,val_v0_intra_std,val_T_intra_std,val_s0_intra_std,val_a_intra_std,val_b_intra_std
1,0.543499664068222,0.4795591879636049,0.39660605194978416,0.0010293049219762907,0.021762550376919876,0.004931710079454206,0.27675940476833505,0.268109955686204,0.08387547721491849,0.002270495948787937,8.936561675187025e-06,0.000278880159676589,0.9755282826193187,5.833893450918026e+16,0.161470816490498,230.45795345306396,0.05154131308116698,0.05154131308116698,0.05028000863401545,0.0333123505115509,0.017073512077331543,36.456649394745526,0.9874672528277052,1.545268748668914,0.3189298060346157,0.5993597938659343,0.9775214169887786,0.03478435662753405,0.08545059080612152,0.006922754977998185,0.020583270702194026
2,0.0012776117026805879,0.001257195770740509,0.00015780165791511535,1.4862504322081805e-05,0.0,7.785402704030276e-06,0.2856071350422311,0.2763275048358643,0.08841998203399967,0.0022500114003939434,5.865027799593294e-08,0.0006501462389255712,0.9045085926789765,847298397470.72,0.17207558151889354,231.31374287605286,0.05154131308116698,0.05154131308116698,0.04661956055987287,0.027747459709644318,0.01641407608985901,37.28139518169647,0.8698857008142674,1.3166079800179664,0.30530322422372536,0.5387538823675602,1.1099198818840879,0.0349159878579543,0.06471516659602206,0.002460714662757187,0.011335675837472081
3,0.0,0.0,0.0,0.0,0.0,0.0,0.29327065798830476,0.2836159591345077,0.09210695579965064,0.0023786663536002188,0.0,0.0006501462389255712,0.7938928322536105,0.0,0.17207558151889354,232.8861780166626,0.05154131308116698,0.05154131308116698,0.04091827902007772,0.027136974036693573,0.015386245213449001,38.42067933589854,0.7949525834398067,1.2111956274255793,0.30188949881715976,0.5185907812828713,1.1740709679557921,0.03519261897878444,0.054085511912373783,0.001095689517356693,0.006939547143856737
4,0.0,0.0,0.0,0.0,0.0,0.0,0.30157844912498555,0.2915270471192421,0.09610520247766312,0.0023161842886536836,0.0,0.0006501462389255712,0.6545088426789766,0.0,0.17207558151889354,231.06748723983765,0.05154131308116698,0.05154131308116698,0.033734245174909396,0.026319416239857674,0.014082120731472969,39.488762429419985,0.7240386212125738,1.1303906707053488,0.3005692483262813,0.5078528434672254,1.218966375957144,0.03379832897731598,0.04164332559609667,0.00041422893666597877,0.0037489179051183956
5,0.0,0.0,0.0,0.0,0.0,0.0,0.3098884015641314,0.2994349132826988,0.1002623941154873,0.0020435160732496173,0.0,0.0006501462389255712,0.5000005000000001,0.0,0.17207558151889354,220.60103273391724,0.05154131308116698,0.05154131308116698,0.025770682311240033,0.025252442806959152,0.012518037110567093,40.45328253888069,0.6608522883121003,1.0737165834041351,0.30014137606671515,0.5028724911365103,1.2444766255769324,0.030672974508017935,0.02922450988355311,0.00012995964437593897,0.001761525688863835
6,0.0,0.0,0.0,0.0,0.0,0.0,0.3174215699446962,0.30659417269077704,0.10422191986853772,0.0016026793288047168,0.0,0.0006501462389255712,0.34549215732102356,0.0,0.17207558151889354,217.4919159412384,0.05154131308116698,0.05154131308116698,0.01780711944757067,0.023898527026176453,0.01075264997780323,41.29503262296636,0.6082708004941332,1.0377120439042435,0.3000281145598026,0.5008922396822179,1.252134286501306,0.02608624872493934,0.018489715296458056,3.29126605696187e-05,0.0007078821386614359
7,0.0,0.0,0.0,0.0,0.0,0.0,0.32358058922468347,0.3124393733574989,0.10761439867634723,0.0010940440462287912,0.0,0.0006501462389255712,0.20610816774638968,0.0,0.17207558151889354,219.08523535728455,0.05154131308116698,0.05154131308116698,0.010623085602402353,0.022229045629501343,0.008873128332197666,42.007656340903424,0.5677269082120124,1.01722404297362,0.30000433706222696,0.50022994393998,1.2443397432724213,0.020618114783923995,0.010426383266136287,6.505509216583232e-06,0.0002384632634083515
8,0.0,0.0,0.0,0.0,0.0,0.0,0.32811719290119534,0.3167389082781812,0.11021376886662651,0.0006366734877643621,0.0,0.0006501462389255712,0.09549240732102354,0.0,0.17207558151889354,218.31680369377136,0.05154131308116698,0.05154131308116698,0.0049218040626071964,0.02022787742316723,0.006971159018576145,42.594428001566136,0.5389947098620395,1.0069146587493571,0.30000050714675414,0.500047856822927,1.224060927933835,0.015021374186580169,0.005176377316448897,9.631799091270003e-07,6.574456392143552e-05
9,0.0,0.0,0.0,0.0,0.0,0.0,0.33112129838542737,0.31958175212778944,0.11198941554794921,0.00031065510950398635,0.0,0.0006501462389255712,0.024472717380681387,0.0,0.17207558151889354,219.91504859924316,0.05154131308116698,0.05154131308116698,0.0012613559884646162,0.017895594239234924,0.005124278832226992,43.06448774134859,0.5204455554485321,1.0023963032884802,0.3000000534539527,0.5000077847470629,1.195102800961901,0.010008371175029018,0.0022321476090508712,1.0178151112766674e-07,1.4416132801022499e-05
10,0.0,0.0,0.0,0.0,0.0,0.0,0.33289985057521376,0.3212618761240168,0.1130657081115753,0.0001265795804875837,0.0,0.0006501462389255712,1e-06,0.0,0.17207558151889354,218.44606852531433,0.05154131308116698,0.05154131308116698,5.154131308116698e-08,0.015256701037287712,0.0033919441048055887,43.430280198442176,0.5096450993355285,1.000702163006397,0.30000001223797496,0.5000009479674887,1.1623651598421658,0.0060528097200539316,0.0008234555429651741,7.199803433187287e-09,2.430692326451561e-06
