champion,matrix,n_weights,frac_zero,entropy_bits,footprint_bits,qerr_mean,exp_-4,exp_-3,exp_-2,exp_-1,exp_0,exp_1
Raffaello,fc,128,0.0234,2.234,512,0.10955,9,10,17,47,35,7
Raffaello,rec_U,256,0.1094,2.062,1024,0.04145,48,51,68,58,3,0
Raffaello,rec_V,256,0.0938,1.88,1024,0.03009,71,71,72,17,1,0
Raffaello,out,160,0.0938,2.413,640,0.07126,20,30,40,29,21,5
Leonardo,fc,128,0.0312,2.067,512,0.08684,5,11,24,44,39,1
Leonardo,rec_U,256,0.0898,1.909,1024,0.03599,46,67,87,33,0,0
Leonardo,rec_V,256,0.1953,1.848,1024,0.03117,62,71,61,10,2,0
Leonardo,out,160,0.05,2.271,640,0.06306,24,39,44,32,11,2
Donatello,fc,128,0.0469,2.291,512,0.0858,8,17,27,33,34,3
Donatello,rec_U,512,0.5586,0.318,2048,0.01475,213,13,0,0,0,0
Donatello,rec_V,512,0.541,0.342,2048,0.01564,220,15,0,0,0,0
Donatello,out,160,0.1313,1.847,640,0.0428,23,32,63,21,0,0
Michelangelo,fc,128,0.0078,2.393,512,0.12706,6,13,24,34,34,16
Michelangelo,rec_U,512,0.3281,1.152,2048,0.01747,217,111,16,0,0,0
Michelangelo,rec_V,512,0.2109,1.452,2048,0.02071,193,161,47,3,0,0
Michelangelo,out,160,0.075,2.267,640,0.05948,30,35,43,29,9,2
