champion,state,min,max,p01,p999,std,absmax,int_bits,frac_bits,min_frac_anti_underflow,total_bits
Raffaello,current,-1.22387,1.37584,-1.2228,1.37456,0.56012,1.37584,2,5,5,8
Raffaello,rec_int,-1.375,2.25,-1.25,1.68756,0.43743,2.25,3,5,5,9
Raffaello,rec_curr,-3.88281,3.17969,-2.98439,2.67971,0.65275,3.88281,3,5,5,9
Raffaello,potential,-9.62581,4.11683,-9.13313,3.36232,2.59087,9.62581,5,5,5,11
Raffaello,fatigue,0.0,1.73478,0.0,1.57145,0.43842,1.73478,2,5,5,8
Raffaello,eff_thresh,0.59377,3.17748,0.59377,3.02936,0.53142,3.17748,3,5,5,9
Raffaello,raw_out,-20.62624,51.68294,-20.26356,50.96002,20.34199,51.68294,7,5,5,13
Leonardo,current,-1.32863,0.76202,-1.32732,0.76003,0.50801,1.32863,2,5,5,8
Leonardo,rec_int,-1.5,1.75,-1.18762,1.75,0.57562,1.75,2,5,5,8
Leonardo,rec_curr,-2.78125,3.78125,-2.34375,3.14066,0.72724,3.78125,3,5,5,9
Leonardo,potential,-11.00399,5.09057,-10.39678,4.0572,2.73776,11.00399,5,5,5,11
Leonardo,fatigue,0.0,2.19159,0.0,1.97604,0.39787,2.19159,3,5,5,9
Leonardo,eff_thresh,0.60638,3.82419,0.60638,3.60863,0.5405,3.82419,3,5,5,9
Leonardo,raw_out,-17.17252,12.07983,-16.8494,10.17336,6.76358,17.17252,6,5,5,12
