champion,mode,frac_bits,id_err_mean,collision_rate,min_ttc_p5
Raffaello,fixed,float,3.760497200489044,0.06666666666666667,0.05143942427869601
Raffaello,fixed,12,3.760496827960014,0.06666666666666667,0.051440089281678605
Raffaello,fixed,8,3.7605452090501785,0.06666666666666667,0.05143836029117241
Raffaello,fixed,6,3.7607028812170027,0.06666666666666667,0.05144085813177763
Raffaello,fixed,4,3.759643790125847,0.06666666666666667,0.047968713025295394
Raffaello,fixed,3,3.760710519552231,0.06666666666666667,0.04996086676224249
Raffaello,fixed,2,3.7695105761289596,0.05925925925925926,0.050591833130162425
Raffaello,po2,float,3.760497200489044,0.06666666666666667,0.05143942427869601
Raffaello,po2,12,1.9919436156749726,0.18518518518518517,0.03922722838936323
Raffaello,po2,8,1.9919436156749726,0.18518518518518517,0.03922722838936323
Raffaello,po2,6,1.9919436156749726,0.18518518518518517,0.03922722838936323
Raffaello,po2,4,1.9919436156749726,0.18518518518518517,0.03922722838936323
Raffaello,po2,3,1.9919436156749726,0.18518518518518517,0.03922722838936323
Raffaello,po2,2,1.9919436156749726,0.18518518518518517,0.03922722838936323
Leonardo,fixed,float,1.602614665031433,0.07407407407407407,0.05106717840555117
Leonardo,fixed,12,1.6026158928871155,0.07407407407407407,0.051067142930701324
Leonardo,fixed,8,1.6026272416114806,0.07407407407407407,0.05106940092440409
Leonardo,fixed,6,1.602469950914383,0.07407407407407407,0.05105916380834799
Leonardo,fixed,4,1.6025282621383667,0.07407407407407407,0.05108848737616582
Leonardo,fixed,3,1.6044114351272583,0.07407407407407407,0.05109856781025304
Leonardo,fixed,2,1.6047116100788117,0.07407407407407407,0.06069041400807639
Leonardo,po2,float,1.602614665031433,0.07407407407407407,0.05106717840555117
Leonardo,po2,12,1.9689840078353882,0.07407407407407407,0.06601870344164695
Leonardo,po2,8,1.9689840078353882,0.07407407407407407,0.06601870344164695
Leonardo,po2,6,1.9689840078353882,0.07407407407407407,0.06601870344164695
Leonardo,po2,4,1.9689840078353882,0.07407407407407407,0.06601870344164695
Leonardo,po2,3,1.9689840078353882,0.07407407407407407,0.06601870344164695
Leonardo,po2,2,1.9689840078353882,0.07407407407407407,0.06601870344164695
Donatello,fixed,float,1.4799980223178864,0.08148148148148149,0.03363617384070684
Donatello,fixed,12,1.479996383190155,0.08148148148148149,0.033636472210166864
Donatello,fixed,8,1.4800077855587006,0.08148148148148149,0.03362851612803582
Donatello,fixed,6,1.4799931257963181,0.08148148148148149,0.03363380404491028
Donatello,fixed,4,1.480272176861763,0.08148148148148149,0.03366731084705419
Donatello,fixed,3,1.4796221911907197,0.08148148148148149,0.033697442461100104
Donatello,fixed,2,1.4776222735643387,0.08148148148148149,0.03392321741803721
Donatello,po2,float,1.4799980223178864,0.08148148148148149,0.03363617384070684
Donatello,po2,12,1.8480413496494292,0.08148148148148149,0.053508106104020896
Donatello,po2,8,1.8480413496494292,0.08148148148148149,0.053508106104020896
Donatello,po2,6,1.8480413496494292,0.08148148148148149,0.053508106104020896
Donatello,po2,4,1.8480413496494292,0.08148148148148149,0.053508106104020896
Donatello,po2,3,1.8480413496494292,0.08148148148148149,0.053508106104020896
Donatello,po2,2,1.8480413496494292,0.08148148148148149,0.053508106104020896
Michelangelo,fixed,float,1.6325079560279847,0.07407407407407407,0.054325540272902526
Michelangelo,fixed,12,1.6325084030628205,0.07407407407407407,0.05432548883178932
Michelangelo,fixed,8,1.6324817299842835,0.07407407407407407,0.05432438473616911
Michelangelo,fixed,6,1.6325149536132812,0.07407407407407407,0.0543077128975503
Michelangelo,fixed,4,1.6320818364620209,0.07407407407407407,0.05428976070462588
Michelangelo,fixed,3,1.631948357820511,0.07407407407407407,0.05430807167096817
Michelangelo,fixed,2,1.6358152270317077,0.07407407407407407,0.056521195866207956
Michelangelo,po2,float,1.6325079560279847,0.07407407407407407,0.054325540272902526
Michelangelo,po2,12,1.9325611591339111,0.07407407407407407,0.07386269428812271
Michelangelo,po2,8,1.9325611591339111,0.07407407407407407,0.07386269428812271
Michelangelo,po2,6,1.9325611591339111,0.07407407407407407,0.07386269428812271
Michelangelo,po2,4,1.9325611591339111,0.07407407407407407,0.07386269428812271
Michelangelo,po2,3,1.9325611591339111,0.07407407407407407,0.07386269428812271
Michelangelo,po2,2,1.9325611591339111,0.07407407407407407,0.07386269428812271
